country_name,city,latitude,longitude
Dominican Republic,Santo Domingo,18.456792,-69.951164
Mexico,Mexico city,19.371887,-99.086624
Philippines,Unknown,15.478598,120.599741
Greece,Athens,37.99749,23.762728
Japan,Fukouka,33.580412,130.396361
United States,Cairo,37.005105,-89.176269
Uruguay,Montevideo,-34.891151,-56.187214
United States,Oakland,37.791927,-122.225906
United States,Madison,43.076592,-89.412488
United States,Madison,43.07295,-89.386694
United States,Baraboo,43.4685,-89.744299
United States,Denver,39.758968,-104.876305